;2007-11;2007-12;2008-01;2008-02;2008-03;2008-04;2008-05;2008-06;2008-07;2008-08;2008-09;2008-10;2008-11;2008-12;2009-01;2009-02;2009-03;2009-04;2009-05;2009-06;2009-07;2009-08;2009-09;2009-10;2009-11;2009-12;2010-01;2010-02;2010-03;2010-04;2010-05;2010-06;2010-07;2010-08;2010-09;2010-10;2010-11;2010-12;2011-01;2011-02;2011-03;2011-04;2011-05;2011-06;2011-07;2011-08;2011-09;2011-10;2011-11;2011-12;2012-01;2012-02;2012-03;2012-04;2012-05;2012-06;2012-07;2012-08;2012-09;2012-10;2012-11;2012-12;2013-01;2013-02;2013-03;2013-04;2013-05;2013-06;2013-07;2013-08;2013-09;2013-10;2013-11;2013-12;2014-01;2014-02;2014-03;2014-04;2014-05;2014-06;2014-07;2014-08;2014-09;2014-10;2014-11;2014-12;2015-01;2015-02;2015-03;2015-04;2015-05;2015-06;2015-07;2015-08;2015-09;2015-10;2015-11
REGISTRANT-REG-RIPN;0;0;0;0;0;0;0;0;124;551;837;4321;1646;1844;1089;2242;2717;2006;1725;875;1711;1468;1142;1200;1233;2406;1161;1292;1487;3002;1551;1148;2062;1099;1262;1306;1112;962;964;1562;1797;1530;1526;1363;1346;1565;1515;1586;1524;1417;1516;1629;1756;1593;1279;1163;1243;1200;1405;1770;1797;1481;1457;1730;2047;1828;1517;1550;1708;1681;1816;1903;1919;1725;1748;2046;1896;1894;1541;1460;1526;1468;1984;2883;2020;1774;2065;2039;2227;1954;1640;1766;1646;1577;1817;1844;217
REGISTRATOR-REG-RIPN;3156;2983;2836;3354;3186;3590;3071;2761;3657;3054;3147;3522;3286;3491;2940;3470;4842;4380;4091;4093;3938;4579;4828;4865;4520;4541;4512;4577;5614;5276;3996;3773;3578;3733;4388;4467;5374;4274;3751;4700;5116;4685;3957;3799;3362;4046;4053;4340;4385;3688;3733;4364;4536;4010;3398;3156;3230;3263;3763;4071;4105;52887;3263;3918;4231;3645;2899;2977;3130;3208;3484;3602;3434;3292;2998;3133;3442;3214;2619;2470;2738;2822;3106;3008;2699;2484;1931;1481;1843;1764;1252;1331;1297;1122;1344;1434;1202
REGRU-REG-RIPN;5648;10927;15709;13862;12600;16753;15197;14314;11714;14745;13425;16091;15899;16562;15273;17911;21486;23171;24736;26074;29132;30229;38682;27012;27532;26630;27272;31203;38083;31069;25777;25931;25156;25432;26583;27749;29040;28385;28408;31965;35532;30237;29082;27504;31061;37247;38466;38899;39785;39623;44536;49067;54606;46742;46148;44588;46903;53679;58417;68989;69468;62899;64647;65991;68247;71077;62902;59776;70215;76012;64795;70110;64247;60961;61284;64883;62207;58229;50909;48435;49431;47343;52826;55387;54154;52254;55010;57212;65211;65358;53061;58278;63459;61186;69307;75607;69163
REGTIME-REG-RIPN;7337;4274;4207;3332;3418;22506;6865;6915;7736;9391;8294;9188;9362;9456;8731;9103;11085;11512;11462;10816;12265;11708;13069;12076;11748;11965;11145;10455;11406;9248;10301;11729;10641;8204;8923;9130;9528;9618;9409;10032;11140;10072;9134;8686;8213;9454;9921;10724;9297;9035;9999;10270;10403;9070;8478;7905;8108;9067;8711;10784;9893;9321;10222;11276;11586;10558;8945;8755;9748;8946;9212;9815;9917;9445;8646;9192;9764;9198;8113;8770;7722;7471;8244;8728;7846;7467;8029;8283;9122;8742;6879;6709;6973;6887;6568;7784;6930
RELCOM-REG-RIPN;0;0;0;0;0;0;2;3;9;4;7;8;1;2;2;4;3;4;0;1;5;0;4;0;4;8;3;0;4;0;2;1;0;0;0;1;2;3;0;8;2;2;0;1;0;1;3;0;0;1;0;0;2;1;1;1;0;1;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RTCOMM-REG-RIPN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;15;3;0;0;0;0;3;14;0;1;2;1;6;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;8
RU-CENTER (всего);20856;31046;25494;24035;24197;26074;21718;18951;22163;20107;24511;26784;21726;22405;20929;20903;23990;24144;21417;20946;21289;20738;23194;24170;22602;22993;21738;24833;29989;27375;24659;23784;22397;23901;34379;26893;28953;27010;25632;25958;30542;27476;27527;23845;22721;23891;24132;26613;24648;21087;25738;27972;29358;29006;26104;23267;24068;24093;24747;27893;27999;26490;26765;30372;33290;31788;26336;26768;31020;26735;27914;33409;30746;28992;26492;30843;31776;32326;30032;24866;28090;25834;27892;30967;26323;23933;23130;25773;30116;28020;22796;22230;24168;22093;22981;23236;21247
RU-CENTER-REG-RIPN;0;0;0;0;0;0;0;0;0;0;0;0;0;10700;15536;17613;19628;19434;16535;16592;16988;16577;18594;19627;18184;17577;15663;20452;24455;22071;18934;18436;17933;19034;29584;21356;24478;23650;21182;22277;26381;24269;25163;23676;22721;23891;24132;26613;24648;21087;25738;27972;29358;29006;26104;23267;24068;24093;24747;27893;27999;26490;26765;30372;33290;31788;26336;26768;31020;26735;27914;33409;30746;28992;26492;30843;31776;32326;30032;24866;28090;25834;27892;30967;26323;23933;23130;25773;30116;28020;22796;22230;24168;22093;22981;23236;21247
RUCENTER-REG-RIPN;20856;31046;25494;24035;24197;26074;21718;18951;22163;20107;24511;26784;21726;11705;5393;3290;4362;4710;4882;4354;4301;4161;4600;4543;4418;5416;6075;4381;5534;5304;5725;5348;4464;4867;4795;5537;4475;3360;4450;3681;4161;3207;2364;169;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RUNET-REG-RIPN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
